num_threads,avg_total_bpf_ns,avg_helper_time_ns,avg_fill_loop_ns,helper_pct_of_component,fill_pct_of_component,helper_overhead_pct,avg_invocations,total_failures,avg_max_wait_ns
4,2438025.99,130.44,2437492.76,0.0,100.0,0.0,49212,0,5827
8,2438016.24,137.86,2437472.53,0.0,100.0,0.0,98425,0,6288
12,2779899.72,167.96,2779300.20,0.0,100.0,0.0,129479,0,13836
16,3383130.21,181.04,3382494.42,0.0,100.0,0.0,141862,0,13660
20,3948504.62,192.88,3947779.64,0.0,100.0,0.0,151937,0,38245
24,4876460.33,276.35,4875447.46,0.0,100.0,0.0,147656,0,4030916
28,5482993.67,767.51,5481478.49,0.0,100.0,0.0,153243,0,4033020
32,6267651.13,5109.68,6261640.94,0.1,99.9,0.1,153145,0,7016220
36,7109249.56,53815.44,7054620.61,0.8,99.2,0.8,151893,0,84607607
40,8145674.31,371403.70,7773336.99,4.6,95.4,4.6,147314,0,254182138
44,9258947.04,773444.17,8484409.80,8.4,91.6,8.4,142538,0,204165418
48,10637418.78,1501814.36,9134294.61,14.1,85.9,14.1,135408,0,47673686
52,10922911.23,872277.43,10049365.22,8.0,92.0,8.0,142798,0,28931419
56,12939637.69,2331381.45,10607011.71,18.0,82.0,18.0,129809,0,474666237
60,13953617.12,2475067.65,11476900.40,17.7,82.3,17.7,129063,0,62855526
64,15834279.65,3656769.72,12175961.40,23.1,76.9,23.1,121471,0,520473875
