num_threads,avg_total_bpf_ns,avg_helper_time_ns,helper_overhead_pct,avg_invocations,total_failures,avg_max_wait_ns
8,2443861.80,138.62,0.0,6550,0,5099
16,3387623.47,181.30,0.0,9452,0,7977
24,4699882.23,385.19,0.0,10222,0,385619
32,6288305.55,563.00,0.0,10195,0,513721
40,7918053.52,85626.43,1.1,10145,0,3298994
48,9849010.19,441860.36,4.5,9869,0,35975644
56,11314287.49,410161.43,3.6,9945,0,4425250
64,13565910.61,1118001.92,8.2,9629,0,8952186
72,13322878.94,877928.16,6.6,9741,0,9180280
80,13137054.07,669972.11,5.1,10191,0,76279088
88,12888026.27,396483.07,3.1,10097,0,6470991
96,13153998.87,707515.53,5.4,9898,0,19907000
104,13074038.66,602494.42,4.6,9952,0,8923369
112,12951739.30,479381.65,3.7,10049,0,6673486
120,13326463.12,872959.09,6.6,9840,0,6331842
128,13294767.96,820206.21,6.2,10106,0,8235273
136,12682824.76,201140.24,1.6,10407,0,2520478
144,12653732.79,197270.76,1.6,10500,0,3857519
152,13308690.73,909014.41,6.8,9976,0,5911498
160,13019158.47,602967.79,4.6,10420,0,6937513
168,13282498.62,866910.82,6.5,10408,0,6635172
176,12999058.39,584365.89,4.5,10430,0,4902854
184,13207750.18,816831.22,6.2,10281,0,5163213
192,13297577.55,908313.24,6.8,10224,0,6281455
200,13258613.72,821507.97,6.2,10287,0,21912868
208,13585896.54,1213097.78,8.9,10085,0,8025053
216,13489791.08,1093495.33,8.1,10163,0,31714801
224,13315170.09,901995.31,6.8,10405,0,7148786
232,13024213.08,604352.29,4.6,10568,0,4783582
240,13006887.99,591550.70,4.5,10563,0,4508145
248,12768094.76,320956.14,2.5,10794,0,4299767
256,13685566.56,1301991.55,9.5,10114,0,5389081
