exp_mode,work_iters,configured_insn_count,time_limit_ns,time_limit_us,run_number,ops_sec,avg_latency_ms,max_latency_ms,p99_latency_ms,p999_latency_ms,baseline_ops_sec,baseline_avg_latency_ms,baseline_p99_latency_ms,baseline_max_latency_ms,avg_bpf_runtime_ns,bpf_invocations,termination_hits,avg_elapsed_ns_before_termination,avg_completed_work_iters_before_termination
# Baseline (no BPF, avg of 10/10 runs): 665311.61 ops/sec, 6.16 ms avg, 16.73 ms p99, 94.98 ms max latency
termination_budgeted,0,17,10000,10.000,1,596658.06,6.86,79.36,20.48,50.43,665311.61,6.16,16.73,94.98,52.19,243910921,0,0.00,0.00
termination_budgeted,0,17,10000,10.000,2,610228.09,6.71,78.33,19.45,49.15,665311.61,6.16,16.73,94.98,52.19,243910921,0,0.00,0.00
termination_budgeted,0,17,10000,10.000,3,611199.50,6.70,77.82,18.43,47.87,665311.61,6.16,16.73,94.98,52.19,243910921,0,0.00,0.00
termination_budgeted,0,17,10000,10.000,4,589533.58,6.94,80.38,20.73,50.69,665311.61,6.16,16.73,94.98,52.19,243910921,0,0.00,0.00
termination_budgeted,0,17,10000,10.000,5,597241.57,6.86,79.87,20.22,47.87,665311.61,6.16,16.73,94.98,52.19,243910921,0,0.00,0.00
termination_budgeted,0,17,10000,10.000,6,598273.25,6.84,77.82,19.45,50.69,665311.61,6.16,16.73,94.98,52.19,243910921,0,0.00,0.00
termination_budgeted,0,17,10000,10.000,7,617817.59,6.88,74.75,19.20,51.45,665311.61,6.16,16.73,94.98,52.19,243910921,0,0.00,0.00
termination_budgeted,0,17,10000,10.000,8,591318.81,6.92,72.70,20.99,50.94,665311.61,6.16,16.73,94.98,52.19,243910921,0,0.00,0.00
termination_budgeted,0,17,10000,10.000,9,610117.11,6.71,68.61,18.43,44.80,665311.61,6.16,16.73,94.98,52.19,243910921,0,0.00,0.00
termination_budgeted,0,17,10000,10.000,10,610477.43,6.71,76.29,19.71,50.43,665311.61,6.16,16.73,94.98,52.19,243910921,0,0.00,0.00
termination_budgeted,50000,10157,10000,10.000,1,257183.40,15.91,120.32,53.50,77.31,665311.61,6.16,16.73,94.98,2055.46,103423440,133718,18159.44,30942.60
termination_budgeted,50000,10157,10000,10.000,2,256147.33,15.98,101.89,52.22,73.22,665311.61,6.16,16.73,94.98,2055.46,103423440,133718,18159.44,30942.60
termination_budgeted,50000,10157,10000,10.000,3,251150.45,16.30,98.30,52.73,74.75,665311.61,6.16,16.73,94.98,2055.46,103423440,133718,18159.44,30942.60
termination_budgeted,50000,10157,10000,10.000,4,257321.17,15.91,97.79,51.71,73.22,665311.61,6.16,16.73,94.98,2055.46,103423440,133718,18159.44,30942.60
termination_budgeted,50000,10157,10000,10.000,5,245170.65,16.70,100.86,53.76,75.26,665311.61,6.16,16.73,94.98,2055.46,103423440,133718,18159.44,30942.60
termination_budgeted,50000,10157,10000,10.000,6,246975.22,16.57,101.38,53.50,75.78,665311.61,6.16,16.73,94.98,2055.46,103423440,133718,18159.44,30942.60
termination_budgeted,50000,10157,10000,10.000,7,250462.00,16.34,99.33,52.22,74.24,665311.61,6.16,16.73,94.98,2055.46,103423440,133718,18159.44,30942.60
termination_budgeted,50000,10157,10000,10.000,8,244522.93,16.74,114.69,54.02,75.78,665311.61,6.16,16.73,94.98,2055.46,103423440,133718,18159.44,30942.60
termination_budgeted,50000,10157,10000,10.000,9,246020.78,16.64,100.35,53.50,75.78,665311.61,6.16,16.73,94.98,2055.46,103423440,133718,18159.44,30942.60
termination_budgeted,50000,10157,10000,10.000,10,251516.81,16.28,104.45,53.76,76.29,665311.61,6.16,16.73,94.98,2055.46,103423440,133718,18159.44,30942.60
termination_budgeted,100000,20323,10000,10.000,1,161325.31,25.37,128.00,69.63,93.69,665311.61,6.16,16.73,94.98,3979.30,68800974,408119,12507.93,71160.75
