exp_mode,work_iters,run_number,ops_sec,avg_latency_ms,max_latency_ms,p99_latency_ms,p999_latency_ms,baseline_ops_sec,baseline_avg_latency_ms,baseline_p99_latency_ms,baseline_max_latency_ms,avg_bpf_runtime_ns,bpf_invocations
# Baseline (no BPF, avg of 20/20 runs): 532744.22 ops/sec, 7.72 ms avg, 22.88 ms p99, 88.04 ms max latency
termination_immediate,0,1,514402.37,7.96,82.94,24.19,53.25,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,2,495495.31,8.26,84.99,27.52,57.60,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,3,470068.46,8.71,84.48,28.29,57.60,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,4,520551.74,8.25,93.18,25.21,56.58,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,5,491332.32,8.33,84.99,27.90,59.65,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,6,488237.10,8.38,84.48,26.11,56.06,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,7,515577.90,8.33,90.62,27.01,57.34,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,8,501763.11,8.16,83.97,25.86,56.83,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,9,525536.27,7.79,87.55,21.50,51.45,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,10,508137.10,8.05,74.75,26.62,56.83,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,11,523347.98,7.82,86.53,22.91,52.22,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,12,519538.81,7.88,77.82,24.96,55.04,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,13,514084.92,7.96,83.97,26.37,57.09,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,14,513862.16,7.97,77.31,22.14,54.02,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,15,516682.41,7.92,76.80,24.70,53.50,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,16,529527.69,7.73,74.24,22.78,52.73,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,17,521583.42,7.85,76.29,22.66,50.43,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,18,506277.45,8.09,87.55,24.19,55.81,532744.22,7.72,22.88,88.04,0.00,0
