exp_mode,work_iters,configured_insn_count,time_limit_ns,time_limit_us,run_number,ops_sec,avg_latency_ms,max_latency_ms,p99_latency_ms,p999_latency_ms,baseline_ops_sec,baseline_avg_latency_ms,baseline_p99_latency_ms,baseline_max_latency_ms,avg_bpf_runtime_ns,bpf_invocations,termination_hits,avg_elapsed_ns_before_termination,avg_completed_work_iters_before_termination
# Baseline (no BPF, avg of 10/10 runs): 665311.61 ops/sec, 6.16 ms avg, 16.73 ms p99, 94.98 ms max latency
no_termination,0,17,0,0.000,1,599943.18,6.82,72.19,18.69,48.13,665311.61,6.16,16.73,94.98,26.69,249639094,0,0.00,0.00
no_termination,0,17,0,0.000,2,616677.43,6.64,77.31,19.07,47.36,665311.61,6.16,16.73,94.98,26.69,249639094,0,0.00,0.00
no_termination,0,17,0,0.000,3,622415.06,6.58,90.11,18.30,52.22,665311.61,6.16,16.73,94.98,26.69,249639094,0,0.00,0.00
no_termination,0,17,0,0.000,4,601716.80,6.80,73.22,18.82,48.13,665311.61,6.16,16.73,94.98,26.69,249639094,0,0.00,0.00
no_termination,0,17,0,0.000,5,604779.29,6.77,80.38,20.09,51.20,665311.61,6.16,16.73,94.98,26.69,249639094,0,0.00,0.00
no_termination,0,17,0,0.000,6,612230.08,6.68,88.06,20.09,49.66,665311.61,6.16,16.73,94.98,26.69,249639094,0,0.00,0.00
no_termination,0,17,0,0.000,7,613614.30,6.67,69.63,17.92,48.13,665311.61,6.16,16.73,94.98,26.69,249639094,0,0.00,0.00
no_termination,0,17,0,0.000,8,634748.50,6.45,76.29,17.92,45.57,665311.61,6.16,16.73,94.98,26.69,249639094,0,0.00,0.00
no_termination,0,17,0,0.000,9,616933.14,6.63,70.66,19.84,48.64,665311.61,6.16,16.73,94.98,26.69,249639094,0,0.00,0.00
no_termination,0,17,0,0.000,10,597429.39,6.85,82.43,21.12,49.15,665311.61,6.16,16.73,94.98,26.69,249639094,0,0.00,0.00
