kernel_type,num_local_objs,run,mem_avail_before_kb,mem_avail_after_kb,mem_free_before_kb,mem_free_after_kb,xlated_prog_len,jited_prog_len
kflex,0,1,23082856,23082856,19062448,19062448,72,28
kflex,1,1,23080612,23080176,19060188,19059752,200,87
kflex,2,1,23087448,23087252,19067024,19066812,352,145
kflex,3,1,23083772,23083772,19063332,19063332,560,226
kflex,4,1,23083740,23083740,19063300,19063300,728,295
kflex,5,1,23068744,23068744,19048304,19048304,912,382
kflex,6,1,23067924,23067924,19047484,19047484,1128,472
kflex,7,1,23063400,23063400,19042944,19042944,1320,555
kflex,8,1,23055192,23054764,19034732,19034304,1552,653
kflex,9,1,23054180,23054180,19033720,19033720,1816,849
kflex,10,1,23043280,23043280,19022820,19022820,2096,971
kflex,11,1,23046288,23046288,19025828,19025828,2392,1103
kflex,12,1,23045192,23045192,19024732,19024732,888,437
kflex,13,1,23052104,23052100,19031644,19031644,944,463
kflex,14,1,23048528,23048528,19028072,19028072,1000,489
kflex,15,1,23042552,23042552,19022096,19022096,1056,515
kflex,16,1,23042548,23042548,19022092,19022092,1112,541
kflex,17,1,23042364,23042616,19021908,19022160,504,271
kflex,18,1,23041672,23041672,19021220,19021220,512,278
kflex,19,1,23040996,23040996,19020544,19020544,520,285
kflex,20,1,23038816,23038816,19018364,19018364,528,292
kflex,21,1,23033060,23033060,19012608,19012608,536,299
kflex,22,1,23030380,23030380,19009928,19009928,544,306
kflex,23,1,23030380,23030380,19009928,19009928,552,313
kflex,24,1,23037888,23037888,19017432,19017432,560,320
kflex,25,1,23037704,23037452,19017248,19016996,568,327
kflex,26,1,23037452,23037452,19016996,19016996,576,334
kflex,27,1,23025288,23025288,19004816,19004816,584,341
kflex,28,1,23025284,23025284,19004812,19004812,592,348
kflex,29,1,23024848,23024848,19004376,19004376,600,355
kflex,30,1,23024004,23024004,19003532,19003532,608,362
kflex,31,1,23016456,23016456,18995984,18995984,616,369
kflex,32,1,23015944,23015720,18995468,18995244,624,376
kflex,33,1,23015720,23015720,18995244,18995244,632,383
kflex,34,1,23015060,23015060,18994584,18994584,640,390
kflex,35,1,23015312,23015152,18994836,18994676,648,397
kflex,36,1,23015152,23015152,18994676,18994676,656,404
kflex,37,1,23014492,23014492,18994016,18994016,664,411
kflex,38,1,23013160,23013160,18992668,18992668,672,418
kflex,39,1,23013468,23013468,18992976,18992976,680,425
kflex,40,1,23013468,23013496,18992976,18993004,688,432
kflex,41,1,23013060,23012612,18992568,18992120,696,439
kflex,42,1,23013180,23012732,18992688,18992240,704,446
kflex,43,1,23029880,23029432,19009388,19008940,712,453
kflex,44,1,23028812,23028364,19008320,19007872,720,460
kflex,45,1,23030580,23030968,19010088,19010476,728,467
kflex,46,1,23031540,23031092,19011048,19010600,736,474
kflex,47,1,23039384,23039384,19018892,19018892,744,481
kflex,48,1,23039692,23039692,19019200,19019200,752,488
kflex,49,1,23024180,23024180,19003688,19003688,760,495
kflex,50,1,23025312,23025768,19004820,19005276,768,502
kflex,51,1,23022396,23023256,19001904,19002764,776,509
kflex,52,1,23012656,23013432,18992164,18992940,784,516
kflex,53,1,23019236,23019204,18998744,18998712,792,523
kflex,54,1,23003516,23003476,18983024,18982984,800,530
kflex,55,1,23003252,23003188,18982760,18982696,808,537
kflex,56,1,23002752,23002500,18982260,18982008,816,544
kflex,57,1,23001840,23001396,18981348,18980904,824,551
kflex,58,1,23001988,23001988,18981496,18981496,832,558
kflex,59,1,23001104,23000660,18980612,18980168,840,565
kflex,60,1,23000948,23000948,18980456,18980456,848,572
kflex,61,1,23000948,23000948,18980456,18980456,856,579
kflex,62,1,23000512,23000512,18980020,18980020,864,586
