kernel_type,num_objects,run,allocated_objects,failed_allocations,mem_avail_before_kb,mem_avail_after_load_kb,mem_avail_after_alloc_kb,mem_free_before_kb,mem_free_after_load_kb,mem_free_after_alloc_kb,xlated_prog_len,jited_prog_len
saterm,1,0,1,0,23193980,23194940,23193196,19309120,19309876,19308132,1104,571
saterm,2,0,2,0,23193004,23193004,23193004,19307888,19307888,19307888,1104,571
saterm,3,0,3,0,23193004,23193004,23193004,19307888,19307888,19307888,1104,571
saterm,4,0,4,0,23193004,23193004,23193004,19307888,19307888,19307888,1104,571
saterm,5,0,5,0,23193508,23193508,23193508,19308392,19308392,19308392,1104,571
saterm,6,0,6,0,23193508,23193508,23193508,19308392,19308392,19308392,1104,571
saterm,7,0,7,0,23193508,23193508,23193512,19308392,19308392,19308392,1104,571
saterm,8,0,8,0,23193512,23193512,23193512,19308392,19308392,19308392,1104,571
saterm,9,0,9,0,23194236,23192476,23192476,19309112,19307348,19307348,1104,571
saterm,10,0,10,0,23192904,23192904,23192904,19307756,19307756,19307756,1104,571
saterm,11,0,11,0,23192904,23194244,23194244,19307756,19309096,19309096,1104,571
saterm,12,0,12,0,23194244,23193992,23193992,19309096,19308844,19308844,1104,571
saterm,13,0,13,0,23193992,23193992,23193992,19308844,19308844,19308844,1104,571
saterm,14,0,14,0,23193992,23193992,23193992,19308844,19308844,19308844,1104,571
saterm,15,0,15,0,23193800,23192556,23192556,19308652,19307344,19307344,1104,571
saterm,16,0,16,0,23193788,23195792,23195792,19308560,19310564,19310564,1104,571
saterm,17,0,17,0,23196016,23196228,23196228,19310788,19311000,19311000,1104,571
saterm,18,0,18,0,23196736,23197568,23197568,19311508,19312340,19312340,1104,571
saterm,19,0,19,0,23197632,23197632,23197632,19312404,19312404,19312404,1104,571
saterm,20,0,20,0,23198372,23198148,23198148,19313144,19312920,19312920,1104,571
saterm,21,0,21,0,23198148,23198148,23198148,19312920,19312920,19312920,1104,571
saterm,22,0,22,0,23198148,23198148,23198148,19312920,19312920,19312920,1104,571
saterm,23,0,23,0,23194788,23194788,23194788,19309560,19309560,19309560,1104,571
saterm,24,0,24,0,23194788,23194788,23194788,19309560,19309560,19309560,1104,571
saterm,25,0,25,0,23194788,23194788,23194788,19309560,19309560,19309560,1104,571
saterm,26,0,26,0,23194948,23195092,23195092,19309720,19309864,19309864,1104,571
saterm,27,0,27,0,23195092,23195092,23195092,19309864,19309864,19309864,1104,571
saterm,28,0,28,0,23195000,23195000,23195000,19309764,19309764,19309764,1104,571
saterm,29,0,29,0,23195000,23195000,23195000,19309764,19309764,19309764,1104,571
saterm,30,0,30,0,23195000,23195000,23195000,19309764,19309764,19309764,1104,571
saterm,31,0,31,0,23195252,23195252,23195252,19310016,19310016,19310016,1104,571
saterm,32,0,32,0,23195252,23194480,23194044,19310016,19309244,19308808,1104,571
saterm,33,0,33,0,23193484,23193484,23193484,19308240,19308240,19308240,1104,571
saterm,34,0,34,0,23193484,23193936,23193936,19308240,19308692,19308692,1104,571
saterm,35,0,35,0,23193500,23193500,23193500,19308256,19308256,19308256,1104,571
saterm,36,0,36,0,23193500,23193500,23193500,19308256,19308256,19308256,1104,571
saterm,37,0,37,0,23194016,23194016,23194016,19308772,19308772,19308772,1104,571
saterm,38,0,38,0,23194024,23194024,23194024,19308772,19308772,19308772,1104,571
saterm,39,0,39,0,23194956,23194956,23194956,19309704,19309704,19309704,1104,571
saterm,40,0,40,0,23194956,23194956,23194956,19309704,19309704,19309704,1104,571
saterm,41,0,41,0,23195908,23195908,23195908,19310656,19310656,19310656,1104,571
saterm,42,0,42,0,23195844,23195844,23195844,19310552,19310552,19310552,1104,571
saterm,43,0,43,0,23195844,23196096,23196096,19310552,19310804,19310804,1104,571
saterm,44,0,44,0,23196096,23196096,23196096,19310804,19310804,19310804,1104,571
saterm,45,0,45,0,23196096,23196096,23196096,19310804,19310804,19310804,1104,571
saterm,46,0,46,0,23196096,23196096,23196096,19310804,19310804,19310804,1104,571
saterm,47,0,47,0,23196096,23196096,23196096,19310804,19310804,19310804,1104,571
saterm,48,0,48,0,23196096,23196096,23196096,19310804,19310804,19310804,1104,571
saterm,49,0,49,0,23195224,23193984,23193984,19309932,19308672,19308672,1104,571
saterm,50,0,50,0,23196132,23196132,23196132,19310860,19310860,19310860,1104,571
saterm,51,0,51,0,23196260,23196260,23196260,19310988,19310988,19310988,1104,571
saterm,52,0,52,0,23196876,23197656,23197656,19311604,19312384,19312384,1104,571
saterm,53,0,53,0,23197656,23197656,23197656,19312384,19312384,19312384,1104,571
saterm,54,0,54,0,23197656,23197656,23197656,19312384,19312384,19312384,1104,571
saterm,55,0,55,0,23197656,23197656,23197656,19312384,19312384,19312384,1104,571
saterm,56,0,56,0,23197656,23197656,23197656,19312384,19312384,19312384,1104,571
saterm,57,0,57,0,23197972,23197972,23197972,19312700,19312700,19312700,1104,571
