kernel_type,num_branches,run,verification_time_ns
kflex,0,1,85000
kflex,0,2,61000
kflex,0,3,43000
kflex,0,4,55000
kflex,0,5,76000
kflex,10,1,1612000
kflex,10,2,1351000
kflex,10,3,1146000
kflex,10,4,984000
kflex,10,5,930000
kflex,20,1,3025000
kflex,20,2,3946000
kflex,20,3,1476000
kflex,20,4,1931000
kflex,20,5,1579000
kflex,30,1,4557000
kflex,30,2,2135000
kflex,30,3,3218000
kflex,30,4,3181000
kflex,30,5,4744000
kflex,40,1,3706000
kflex,40,2,2883000
kflex,40,3,2780000
kflex,40,4,2827000
kflex,40,5,4675000
kflex,50,1,4342000
kflex,50,2,4196000
kflex,50,3,3565000
kflex,50,4,5142000
kflex,50,5,6163000
kflex,60,1,4567000
kflex,60,2,4102000
kflex,60,3,6030000
kflex,60,4,8179000
kflex,60,5,4118000
kflex,70,1,10225000
kflex,70,2,7426000
kflex,70,3,9425000
kflex,70,4,6925000
kflex,70,5,7104000
kflex,80,1,5630000
kflex,80,2,5467000
kflex,80,3,5518000
kflex,80,4,5505000
kflex,80,5,5687000
kflex,90,1,6135000
kflex,90,2,6901000
kflex,90,3,6153000
kflex,90,4,7084000
kflex,90,5,7115000
kflex,100,1,9723000
kflex,100,2,7110000
kflex,100,3,6808000
kflex,100,4,6760000
kflex,100,5,6765000
