kernel_type,num_objects,run,mem_avail_before_kb,mem_avail_after_kb,mem_free_before_kb,mem_free_after_kb,xlated_prog_len,jited_prog_len
kflex,0,1,23373024,23373024,20088368,20088368,72,36
kflex,0,2,23373024,23373024,20088368,20088368,72,36
kflex,0,3,23373024,23373024,20088368,20088368,72,36
kflex,5,1,23372436,23372436,20087852,20087852,408,195
kflex,5,2,23372436,23372436,20087852,20087852,408,195
kflex,5,3,23372436,23372436,20087852,20087852,408,195
kflex,10,1,23372436,23372436,20087852,20087852,448,239
kflex,10,2,23372436,23372436,20087852,20087852,448,239
kflex,10,3,23372436,23372436,20087852,20087852,448,239
kflex,15,1,23372008,23372008,20087416,20087416,488,259
kflex,15,2,23372008,23372008,20087416,20087416,488,259
kflex,15,3,23372008,23372008,20087416,20087416,488,259
kflex,20,1,23372664,23372664,20088056,20088056,528,300
kflex,20,2,23372664,23372672,20088056,20088056,528,300
kflex,20,3,23372672,23372672,20088056,20088056,528,300
kflex,25,1,23365908,23365908,20081276,20081276,568,335
kflex,25,2,23365908,23365904,20081276,20081264,568,335
kflex,25,3,23365904,23365904,20081264,20081264,568,335
kflex,30,1,23361728,23361728,20077088,20077088,608,370
kflex,30,2,23361728,23361628,20077088,20076980,608,370
kflex,30,3,23361628,23361628,20076980,20076980,608,370
kflex,35,1,23361628,23361628,20076980,20076980,648,405
kflex,35,2,23361628,23361628,20076980,20076980,648,405
kflex,35,3,23361628,23361628,20076980,20076980,648,405
kflex,40,1,23361636,23361636,20076980,20076980,688,440
kflex,40,2,23361636,23363020,20076980,20078364,688,440
kflex,40,3,23363020,23363272,20078364,20078616,688,440
kflex,45,1,23364528,23364528,20079864,20079864,728,475
kflex,45,2,23364528,23364528,20079864,20079864,728,475
kflex,45,3,23364528,23364132,20079864,20079460,728,475
kflex,50,1,23364516,23364516,20079844,20079844,768,510
kflex,50,2,23364516,23364516,20079844,20079844,768,510
kflex,50,3,23364516,23364260,20079844,20079592,768,510
kflex,55,1,23364260,23364260,20079592,20079592,808,545
kflex,55,2,23364260,23364268,20079592,20079592,808,545
kflex,55,3,23364268,23364268,20079592,20079592,808,545
kflex,60,1,23363396,23363396,20078720,20078720,848,580
kflex,60,2,23363396,23363016,20078720,20078332,848,580
kflex,60,3,23363016,23363016,20078332,20078332,848,580
