kernel_type,num_branches,run,verification_time_ns
saterm,0,1,398000
saterm,0,2,569000
saterm,0,3,405000
saterm,5,1,393000
saterm,5,2,394000
saterm,5,3,400000
saterm,10,1,1288000
saterm,10,2,1304000
saterm,10,3,1335000
saterm,15,1,3085000
saterm,15,2,3233000
saterm,15,3,1795000
saterm,20,1,1815000
saterm,20,2,2113000
saterm,20,3,1937000
saterm,25,1,2113000
saterm,25,2,3371000
saterm,25,3,2113000
saterm,30,1,2553000
saterm,30,2,4103000
saterm,30,3,2479000
saterm,35,1,2995000
saterm,35,2,6820000
saterm,35,3,2849000
saterm,40,1,3254000
saterm,40,2,3200000
saterm,40,3,3933000
saterm,45,1,3534000
saterm,45,2,4730000
saterm,45,3,7924000
saterm,50,1,4483000
saterm,50,2,4152000
saterm,50,3,3927000
saterm,55,1,5895000
saterm,55,2,9149000
saterm,55,3,4558000
saterm,60,1,5008000
saterm,60,2,5869000
saterm,60,3,4648000
saterm,65,1,9291000
saterm,65,2,12460000
saterm,65,3,10823000
saterm,70,1,18333000
saterm,70,2,7859000
saterm,70,3,5494000
saterm,75,1,6363000
saterm,75,2,5787000
saterm,75,3,8888000
saterm,80,1,6169000
saterm,80,2,10493000
saterm,80,3,7610000
saterm,85,1,6667000
saterm,85,2,6667000
saterm,85,3,10088000
saterm,90,1,6754000
saterm,90,2,6764000
saterm,90,3,7494000
saterm,95,1,10449000
saterm,95,2,7280000
saterm,95,3,14570000
saterm,100,1,8478000
saterm,100,2,8418000
saterm,100,3,17630000
