kernel_type,num_objects,run,mem_avail_before_kb,mem_avail_after_kb,mem_free_before_kb,mem_free_after_kb,xlated_prog_len,jited_prog_len
saterm,0,1,23485008,23485008,18681980,18681980,24,33
saterm,0,2,23485008,23485008,18681980,18681980,24,33
saterm,0,3,23485008,23485004,18681980,18681980,24,33
saterm,5,1,23483340,23483340,18680316,18680316,344,185
saterm,5,2,23483340,23483340,18680316,18680316,344,185
saterm,5,3,23483340,23483596,18680316,18680564,344,185
saterm,10,1,23483596,23483596,18680564,18680564,384,229
saterm,10,2,23483596,23483596,18680564,18680564,384,229
saterm,10,3,23483596,23483596,18680564,18680564,384,229
saterm,15,1,23476696,23476704,18673664,18673664,424,249
saterm,15,2,23476704,23476704,18673664,18673664,424,249
saterm,15,3,23476704,23476304,18673664,18673256,424,249
saterm,20,1,23468892,23468892,18665844,18665844,464,290
saterm,20,2,23468892,23468500,18665844,18665444,464,290
saterm,20,3,23468500,23468500,18665444,18665444,464,290
saterm,25,1,23464072,23464072,18661016,18661016,504,325
saterm,25,2,23464072,23464072,18661016,18661016,504,325
saterm,25,3,23464072,23463720,18661016,18660656,504,325
saterm,30,1,23458488,23458488,18655424,18655424,544,360
saterm,30,2,23458488,23458488,18655424,18655424,544,360
saterm,30,3,23458488,23458488,18655424,18655424,544,360
saterm,35,1,23447972,23447972,18644900,18644900,584,395
saterm,35,2,23447972,23447972,18644900,18644900,584,395
saterm,35,3,23447972,23454076,18644900,18650996,584,395
saterm,40,1,23454076,23454076,18650996,18650996,624,430
saterm,40,2,23454076,23454076,18650996,18650996,624,430
saterm,40,3,23454076,23454076,18650996,18650996,624,430
saterm,45,1,23460188,23460188,18657100,18657100,664,465
saterm,45,2,23460188,23460188,18657100,18657100,664,465
saterm,45,3,23460188,23460196,18657100,18657100,664,465
saterm,50,1,23458016,23458016,18654920,18654920,704,500
saterm,50,2,23458016,23458016,18654920,18654920,704,500
saterm,50,3,23458016,23457936,18654920,18654832,704,500
saterm,55,1,23457936,23457936,18654832,18654832,744,535
saterm,55,2,23457936,23457936,18654832,18654832,744,535
saterm,55,3,23457936,23458260,18654832,18655148,744,535
saterm,60,1,23449104,23449104,18645992,18645992,784,570
saterm,60,2,23449104,23449104,18645992,18645984,784,570
saterm,60,3,23449104,23449540,18645984,18646420,784,570
