kernel_type,num_objects,run,termination_time_ns
saterm,0,1,122508
saterm,0,2,179634
saterm,0,3,117574
saterm,5,1,209260
saterm,5,2,166622
saterm,5,3,365487
saterm,10,1,433115
saterm,10,2,364291
saterm,10,3,214925
saterm,15,1,403842
saterm,15,2,421550
saterm,15,3,475852
saterm,20,1,356783
saterm,20,2,516358
saterm,20,3,226292
saterm,25,1,105616
saterm,25,2,295836
saterm,25,3,502661
saterm,30,1,134413
saterm,30,2,142213
saterm,30,3,267513
saterm,35,1,471646
saterm,35,2,250089
saterm,35,3,166311
saterm,40,1,42545
saterm,40,2,400395
saterm,40,3,44028
saterm,45,1,88752
saterm,45,2,449757
saterm,45,3,408142
saterm,50,1,183187
saterm,50,2,593354
saterm,50,3,384659
saterm,55,1,543086
saterm,55,2,448099
saterm,55,3,508475
saterm,60,1,396426
saterm,60,2,637796
saterm,60,3,443880
