kernel_type,shape,param_name,param_value,run,verification_time_ns,processed_insns,max_states_per_insn,total_states,peak_states,unwind_bytes,memory_source
saterm,rt_fanin,FANIN_SLOTS,2,1,436000,77,2,7,7,600,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,2,2,244000,77,2,7,7,600,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,2,3,348000,77,2,7,7,600,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,4,1,1250000,333,4,35,32,936,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,4,2,1062000,333,4,35,32,936,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,4,3,1798000,333,4,35,32,936,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,6,1,9140000,1477,12,164,87,1272,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,6,2,5104000,1477,12,164,87,1272,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,6,3,5046000,1477,12,164,87,1272,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,8,1,29884000,7434,13,824,151,1608,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,8,2,29874000,7434,13,824,151,1608,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,8,3,30270000,7434,13,824,151,1608,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,10,1,177551000,39485,17,4363,207,3744,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,10,2,178161000,39485,17,4363,207,3744,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,10,3,178203000,39485,17,4363,207,3744,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,12,1,1003029000,195403,20,21511,269,10824,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,12,2,1003062000,195403,20,21511,269,10824,vzalloc_sum
saterm,rt_fanin,FANIN_SLOTS,12,3,1005080000,195403,20,21511,269,10824,vzalloc_sum
saterm,rt_ladder,LADDER_DEPTH,1,1,29725000,7501,15,821,144,1608,vzalloc_sum
