kernel_type,shape,param_name,param_value,run,verification_time_ns,processed_insns,max_states_per_insn,total_states,peak_states,unwind_bytes,memory_source
kflex,rt_fanin,FANIN_SLOTS,2,1,155000,36,1,3,3,208,unwind_total
kflex,rt_fanin,FANIN_SLOTS,2,2,312000,36,1,3,3,208,unwind_total
kflex,rt_fanin,FANIN_SLOTS,2,3,279000,36,1,3,3,208,unwind_total
kflex,rt_fanin,FANIN_SLOTS,4,1,386000,118,3,12,12,256,unwind_total
kflex,rt_fanin,FANIN_SLOTS,4,2,423000,118,3,12,12,256,unwind_total
kflex,rt_fanin,FANIN_SLOTS,4,3,310000,118,3,12,12,256,unwind_total
kflex,rt_fanin,FANIN_SLOTS,6,1,740000,250,4,27,26,304,unwind_total
kflex,rt_fanin,FANIN_SLOTS,6,2,1129000,250,4,27,26,304,unwind_total
kflex,rt_fanin,FANIN_SLOTS,6,3,869000,250,4,27,26,304,unwind_total
kflex,rt_fanin,FANIN_SLOTS,8,1,876000,401,5,44,43,352,unwind_total
kflex,rt_fanin,FANIN_SLOTS,8,2,984000,401,5,44,43,352,unwind_total
kflex,rt_fanin,FANIN_SLOTS,8,3,1290000,401,5,44,43,352,unwind_total
kflex,rt_fanin,FANIN_SLOTS,10,1,1268000,588,7,65,63,400,unwind_total
kflex,rt_fanin,FANIN_SLOTS,10,2,1203000,588,7,65,63,400,unwind_total
kflex,rt_fanin,FANIN_SLOTS,10,3,1158000,588,7,65,63,400,unwind_total
kflex,rt_fanin,FANIN_SLOTS,12,1,1658000,811,7,90,82,448,unwind_total
kflex,rt_fanin,FANIN_SLOTS,12,2,1641000,811,7,90,82,448,unwind_total
kflex,rt_fanin,FANIN_SLOTS,12,3,2829000,811,7,90,82,448,unwind_total
kflex,rt_fanin,FANIN_SLOTS,14,1,4062000,1070,8,119,102,496,unwind_total
kflex,rt_fanin,FANIN_SLOTS,14,2,2451000,1070,8,119,102,496,unwind_total
kflex,rt_fanin,FANIN_SLOTS,14,3,4187000,1070,8,119,102,496,unwind_total
kflex,rt_fanin,FANIN_SLOTS,16,1,2982000,1365,8,152,121,544,unwind_total
kflex,rt_fanin,FANIN_SLOTS,16,2,5808000,1365,8,152,121,544,unwind_total
kflex,rt_fanin,FANIN_SLOTS,16,3,3778000,1365,8,152,121,544,unwind_total
kflex,rt_ladder,LADDER_DEPTH,1,1,912000,450,4,49,48,352,unwind_total
kflex,rt_ladder,LADDER_DEPTH,1,2,1448000,450,4,49,48,352,unwind_total
kflex,rt_ladder,LADDER_DEPTH,1,3,976000,450,4,49,48,352,unwind_total
kflex,rt_ladder,LADDER_DEPTH,2,1,825000,409,5,45,44,512,unwind_total
kflex,rt_ladder,LADDER_DEPTH,2,2,1278000,409,5,45,44,512,unwind_total
kflex,rt_ladder,LADDER_DEPTH,2,3,889000,409,5,45,44,512,unwind_total
kflex,rt_ladder,LADDER_DEPTH,3,1,899000,417,5,46,45,672,unwind_total
kflex,rt_ladder,LADDER_DEPTH,3,2,1025000,417,5,46,45,672,unwind_total
kflex,rt_ladder,LADDER_DEPTH,3,3,1222000,417,5,46,45,672,unwind_total
kflex,rt_ladder,LADDER_DEPTH,4,1,880000,425,5,47,46,832,unwind_total
kflex,rt_ladder,LADDER_DEPTH,4,2,1194000,425,5,47,46,832,unwind_total
kflex,rt_ladder,LADDER_DEPTH,4,3,1062000,425,5,47,46,832,unwind_total
kflex,rt_ladder,LADDER_DEPTH,5,1,868000,433,5,48,47,992,unwind_total
kflex,rt_ladder,LADDER_DEPTH,5,2,1148000,433,5,48,47,992,unwind_total
kflex,rt_ladder,LADDER_DEPTH,5,3,2999000,433,5,48,47,992,unwind_total
kflex,rt_ladder,LADDER_DEPTH,6,1,1531000,441,5,49,48,1152,unwind_total
