n,avg_total_bpf_ns,avg_helper_ns,helper_overhead_pct,invocations
0,99284.63,0.00,0.0,1000
1000,101536.94,3484.15,3.4,1000
2000,106861.18,7022.98,6.6,1000
3000,108636.41,10208.25,9.4,1000
4000,112641.75,13889.58,12.3,1000
5000,117440.87,17460.31,14.9,1000
6000,118631.91,20510.85,17.3,1000
7000,125342.33,24721.17,19.7,1000
8000,125032.95,27054.67,21.6,1000
9000,128518.32,30471.39,23.7,1000
10000,132966.44,34278.65,25.8,1000
11000,134610.29,37413.96,27.8,1000
12000,139216.01,41034.29,29.5,1000
13000,141981.02,44192.32,31.1,1000
14000,146144.57,48178.29,33.0,1000
15000,149587.08,51328.57,34.3,1000
16000,151089.11,54134.80,35.8,1000
17000,154891.67,57629.04,37.2,1000
18000,157923.94,60860.80,38.5,1000
19000,162144.83,64528.30,39.8,1000
20000,165284.85,67839.21,41.0,1000
21000,169431.30,71453.75,42.2,1000
22000,178871.31,76339.35,42.7,1000
23000,175601.43,77974.87,44.4,1000
24000,178630.69,81387.77,45.6,1000
25000,181629.59,84547.30,46.5,1000
26000,184672.36,87843.85,47.6,1000
27000,188496.41,91272.73,48.4,1000
28000,191869.56,94763.12,49.4,1000
29000,197897.37,100117.75,50.6,1000
30000,199447.26,102418.84,51.4,1000
31000,201386.92,104678.99,52.0,1000
32000,212099.90,112159.07,52.9,1000
33000,208425.00,111551.22,53.5,1000
34000,214293.47,116524.39,54.4,1000
35000,216614.72,119319.82,55.1,1000
36000,219714.10,122328.04,55.7,1000
37000,221805.54,125030.95,56.4,1000
38000,232602.39,133126.85,57.2,1000
39000,229506.02,132264.54,57.6,1000
40000,231985.60,135156.33,58.3,1000
41000,246179.10,145769.00,59.2,1000
42000,238837.28,141940.49,59.4,1000
43000,241934.02,145247.22,60.0,1000
44000,245548.56,148782.81,60.6,1000
45000,248971.27,152037.46,61.1,1000
46000,252832.64,155826.21,61.6,1000
47000,255472.14,158716.17,62.1,1000
48000,262292.49,164282.04,62.6,1000
49000,263494.31,166496.49,63.2,1000
50000,267101.30,170149.28,63.7,1000
51000,271192.55,173911.38,64.1,1000
52000,274752.88,177416.43,64.6,1000
53000,278030.41,180796.92,65.0,1000
54000,281850.86,184373.64,65.4,1000
55000,286885.88,188820.46,65.8,1000
56000,288240.61,190904.27,66.2,1000
57000,289047.40,192340.66,66.5,1000
58000,293013.35,196150.25,66.9,1000
59000,298455.51,201201.85,67.4,1000
60000,301825.67,204503.90,67.8,1000
61000,304356.17,207180.09,68.1,1000
62000,306827.17,210044.74,68.5,1000
63000,310727.28,213770.14,68.8,1000
64000,312590.26,215908.68,69.1,1000
65000,316528.36,219690.57,69.4,1000
66000,319814.71,223060.84,69.7,1000
67000,323666.93,226709.55,70.0,1000
68000,331772.41,233567.37,70.4,1000
69000,333640.68,235928.55,70.7,1000
70000,333208.94,235990.18,70.8,1000
71000,341571.19,243568.29,71.3,1000
72000,339960.92,243231.21,71.5,1000
73000,343461.03,246645.20,71.8,1000
74000,349512.48,252159.66,72.1,1000
75000,357192.16,258837.96,72.5,1000
76000,356814.45,259204.82,72.6,1000
77000,356828.50,259872.23,72.8,1000
78000,361009.88,264011.13,73.1,1000
79000,363944.12,267054.52,73.4,1000
80000,367144.28,270293.13,73.6,1000
81000,370331.58,273573.26,73.9,1000
82000,373415.55,276701.39,74.1,1000
83000,377094.93,280292.87,74.3,1000
84000,382338.25,285095.59,74.6,1000
85000,385504.40,288434.29,74.8,1000
86000,387783.72,290929.22,75.0,1000
87000,390558.06,293762.05,75.2,1000
88000,394174.60,297288.59,75.4,1000
89000,397875.35,301068.67,75.7,1000
90000,403909.68,306613.33,75.9,1000
91000,406932.42,309575.11,76.1,1000
92000,407308.97,310551.19,76.2,1000
93000,412537.49,315450.79,76.5,1000
94000,417203.20,319718.90,76.6,1000
95000,424824.81,326436.86,76.8,1000
96000,426121.52,328448.29,77.1,1000
97000,425376.52,328286.28,77.2,1000
98000,430594.45,333264.01,77.4,1000
99000,439035.80,340522.11,77.6,1000
100000,434356.43,337594.07,77.7,1000
