n,avg_component_total_ns,avg_map_iter_ns,avg_fill_loop_ns,map_iter_pct_component,fill_loop_pct_component,avg_bpftool_total_ns,invocations
0,0.00,0.00,0.00,0.0,0.0,97545.00,1000
1000,101766.59,3462.78,98303.80,3.4,96.6,101925.58,1000
2000,105126.53,6901.08,98225.45,6.6,93.4,105288.43,1000
3000,108186.40,10197.90,97988.50,9.4,90.6,108346.99,1000
4000,111699.05,13743.25,97955.79,12.3,87.7,111862.14,1000
5000,114392.06,16990.55,97401.51,14.9,85.1,114551.62,1000
6000,118884.01,20424.63,98459.38,17.2,82.8,119049.93,1000
7000,129047.28,25614.29,103432.99,19.8,80.2,129214.45,1000
8000,125706.93,27110.68,98596.25,21.6,78.4,125867.55,1000
9000,128410.42,30490.73,97919.69,23.7,76.3,128569.90,1000
10000,131786.87,34019.71,97767.16,25.8,74.2,131954.76,1000
11000,135523.26,37352.04,98171.22,27.6,72.4,135684.59,1000
12000,138690.77,40880.63,97810.14,29.5,70.5,138853.62,1000
13000,142909.30,44282.06,98627.24,31.0,69.0,143074.01,1000
14000,145113.99,47410.03,97703.97,32.7,67.3,145275.69,1000
15000,148857.30,51131.84,97725.45,34.3,65.7,149019.76,1000
16000,152183.67,54177.92,98005.74,35.6,64.4,152347.35,1000
17000,156101.09,57640.07,98461.03,36.9,63.1,156269.71,1000
18000,158045.60,60812.80,97232.80,38.5,61.5,158208.96,1000
19000,161343.97,64356.98,96986.99,39.9,60.1,161505.97,1000
20000,165713.96,67996.08,97717.88,41.0,59.0,165888.42,1000
21000,168869.18,71431.45,97437.73,42.3,57.7,169037.54,1000
22000,172495.67,74949.44,97546.23,43.5,56.5,172666.08,1000
23000,175087.93,77946.81,97141.12,44.5,55.5,175253.07,1000
24000,178012.15,81061.03,96951.12,45.5,54.5,178181.49,1000
25000,181452.72,84410.59,97042.12,46.5,53.5,181618.14,1000
26000,184915.09,87820.58,97094.51,47.5,52.5,185085.53,1000
27000,188335.44,91266.71,97068.73,48.5,51.5,188506.16,1000
28000,192806.79,95378.53,97428.26,49.5,50.5,192977.51,1000
29000,195273.66,98163.01,97110.65,50.3,49.7,195450.97,1000
30000,198732.52,101619.76,97112.76,51.1,48.9,198899.74,1000
31000,201905.88,104765.21,97140.67,51.9,48.1,202072.85,1000
32000,210225.20,111240.96,98984.23,52.9,47.1,210398.46,1000
33000,209475.98,112101.74,97374.24,53.5,46.5,209652.55,1000
34000,213678.03,116244.96,97433.07,54.4,45.6,213857.35,1000
35000,216808.32,119374.01,97434.31,55.1,44.9,216988.22,1000
36000,218245.21,121536.71,96708.50,55.7,44.3,218414.03,1000
37000,223729.90,126061.34,97668.57,56.3,43.7,223905.85,1000
38000,226791.47,129323.59,97467.88,57.0,43.0,226974.19,1000
39000,228926.70,131977.53,96949.18,57.7,42.3,229097.86,1000
40000,233337.89,136042.40,97295.49,58.3,41.7,233509.81,1000
41000,235080.38,138270.35,96810.04,58.8,41.2,235248.88,1000
42000,238839.19,141947.36,96891.82,59.4,40.6,239006.71,1000
43000,243839.27,146423.60,97415.68,60.0,40.0,244023.65,1000
44000,245460.44,148604.65,96855.79,60.5,39.5,245628.25,1000
45000,248774.07,152035.05,96739.02,61.1,38.9,248944.47,1000
46000,252763.46,155586.50,97176.96,61.6,38.4,252932.17,1000
47000,256945.25,159458.78,97486.47,62.1,37.9,257121.40,1000
48000,261031.39,163360.91,97670.48,62.6,37.4,261208.36,1000
49000,262463.42,165472.27,96991.15,63.0,37.0,262633.89,1000
50000,266534.52,169433.80,97100.72,63.6,36.4,266704.46,1000
51000,269710.81,172472.89,97237.92,63.9,36.1,269879.83,1000
52000,272763.12,175843.54,96919.59,64.5,35.5,272929.77,1000
53000,277989.94,180375.67,97614.28,64.9,35.1,278160.68,1000
54000,281737.23,183896.85,97840.38,65.3,34.7,281909.52,1000
55000,284508.97,187067.07,97441.91,65.8,34.2,284686.14,1000
56000,287264.66,189845.42,97419.24,66.1,33.9,287441.41,1000
57000,291946.84,194261.96,97684.88,66.5,33.5,292122.14,1000
58000,294507.66,197082.58,97425.09,66.9,33.1,294675.42,1000
59000,296411.54,199360.76,97050.79,67.3,32.7,296578.45,1000
60000,299813.65,202763.68,97049.97,67.6,32.4,299984.22,1000
61000,302614.48,205824.13,96790.35,68.0,32.0,302778.43,1000
62000,310797.37,212453.51,98343.86,68.4,31.6,310962.92,1000
63000,309784.68,212919.90,96864.78,68.7,31.3,309953.98,1000
64000,313234.14,216347.76,96886.38,69.1,30.9,313398.66,1000
65000,318613.33,221273.95,97339.38,69.4,30.6,318784.83,1000
66000,319996.94,222886.88,97110.06,69.7,30.3,320160.64,1000
67000,323157.01,226342.56,96814.45,70.0,30.0,323320.19,1000
68000,326438.40,229652.14,96786.26,70.4,29.6,326607.42,1000
69000,333110.32,235500.29,97610.04,70.7,29.3,333278.70,1000
70000,339076.73,242083.04,96993.69,71.4,28.6,339254.02,1000
71000,337546.84,240619.06,96927.78,71.3,28.7,337717.24,1000
72000,340641.98,243566.69,97075.29,71.5,28.5,340813.72,1000
73000,343499.51,246649.17,96850.34,71.8,28.2,343685.29,1000
74000,348497.07,251204.64,97292.43,72.1,27.9,348674.55,1000
75000,350264.96,253454.03,96810.93,72.4,27.6,350437.09,1000
76000,357380.54,259779.70,97600.84,72.7,27.3,357561.55,1000
77000,357635.74,260561.25,97074.49,72.9,27.1,357811.83,1000
78000,360343.53,263535.54,96807.99,73.1,26.9,360521.36,1000
79000,364958.16,267806.04,97152.11,73.4,26.6,365137.86,1000
80000,372721.36,274476.15,98245.21,73.6,26.4,372910.98,1000
81000,374439.27,276732.37,97706.90,73.9,26.1,374628.66,1000
82000,374120.33,277264.52,96855.82,74.1,25.9,374299.81,1000
83000,381043.79,283225.00,97818.79,74.3,25.7,381227.21,1000
84000,383615.14,286230.01,97385.14,74.6,25.4,383810.37,1000
85000,386374.44,289136.30,97238.15,74.8,25.2,386571.24,1000
86000,390792.26,293226.01,97566.25,75.0,25.0,390983.40,1000
87000,393239.98,295936.50,97303.49,75.3,24.7,393431.43,1000
88000,396751.75,299415.48,97336.27,75.5,24.5,396950.82,1000
89000,400371.19,302657.27,97713.92,75.6,24.4,400560.31,1000
90000,401031.49,304103.56,96927.93,75.8,24.2,401216.04,1000
91000,404584.77,307731.13,96853.64,76.1,23.9,404768.84,1000
92000,407504.47,310746.19,96758.28,76.3,23.7,407687.72,1000
93000,410613.55,313880.83,96732.72,76.4,23.6,410802.92,1000
94000,415225.81,318247.41,96978.40,76.6,23.4,415416.33,1000
95000,419140.90,322072.46,97068.44,76.8,23.2,419336.51,1000
96000,427098.20,330016.88,97081.32,77.3,22.7,427289.30,1000
97000,424274.18,327485.23,96788.94,77.2,22.8,424454.85,1000
98000,428330.20,331441.95,96888.26,77.4,22.6,428514.32,1000
99000,431644.01,334680.83,96963.17,77.5,22.5,431832.35,1000
100000,434549.13,337676.67,96872.47,77.7,22.3,434727.82,1000
