size_bytes,avg_total_bpf_ns,avg_helper_ns,helper_overhead_pct,invocations
0,2440506.43,0.00,0.0,1000
1000000,2515120.65,77620.40,3.1,1000
2000000,2613230.68,160073.90,6.1,1000
3000000,2680619.16,238667.71,8.9,1000
4000000,2774889.25,320946.52,11.6,1000
5000000,2854321.64,403771.24,14.1,1000
6000000,2946113.21,489759.37,16.6,1000
7000000,3035345.34,574035.49,18.9,1000
8000000,3117082.12,661467.36,21.2,1000
9000000,3218584.33,757684.50,23.5,1000
10000000,3313660.32,858264.81,25.9,1000
11000000,3406898.16,960912.11,28.2,1000
12000000,3551680.83,1093322.49,30.8,1000
13000000,3689557.15,1219821.55,33.1,1000
14000000,3809270.11,1354443.28,35.6,1000
15000000,3931837.11,1476232.18,37.5,1000
16000000,4049159.70,1601851.28,39.6,1000
17000000,4174925.99,1728795.27,41.4,1000
18000000,4325169.80,1877901.73,43.4,1000
19000000,4487012.99,2039069.25,45.4,1000
20000000,4610156.50,2165380.16,47.0,1000
21000000,4734603.70,2277766.65,48.1,1000
22000000,4865209.11,2411923.92,49.6,1000
23000000,4986231.17,2531318.30,50.8,1000
24000000,5108958.46,2651126.52,51.9,1000
25000000,5212559.55,2752489.35,52.8,1000
26000000,5346302.22,2892061.90,54.1,1000
27000000,5479347.01,3022437.97,55.2,1000
28000000,5574241.07,3112914.98,55.8,1000
29000000,5652406.22,3196429.25,56.5,1000
30000000,5744901.93,3288864.05,57.2,1000
31000000,5846043.01,3383369.16,57.9,1000
32000000,5953931.81,3509000.40,58.9,1000
33000000,6092281.21,3641474.64,59.8,1000
34000000,6220950.75,3765221.46,60.5,1000
35000000,6319131.59,3872833.32,61.3,1000
36000000,6444611.22,3994834.02,62.0,1000
37000000,6599108.61,4137891.15,62.7,1000
38000000,6703061.66,4246884.04,63.4,1000
39000000,6832773.36,4373458.99,64.0,1000
40000000,6954512.98,4495048.20,64.6,1000
41000000,7071422.33,4620316.67,65.3,1000
42000000,7193809.43,4737853.39,65.9,1000
43000000,7311484.06,4857571.72,66.4,1000
44000000,7461250.93,5003914.36,67.1,1000
45000000,7576720.26,5121599.53,67.6,1000
46000000,7698381.32,5248243.23,68.2,1000
47000000,7837129.66,5378357.39,68.6,1000
48000000,7955244.22,5493452.05,69.1,1000
49000000,8065110.95,5612024.12,69.6,1000
50000000,8195813.81,5738635.95,70.0,1000
51000000,8323298.38,5860725.75,70.4,1000
52000000,8440905.22,5978801.63,70.8,1000
53000000,8546427.55,6095764.38,71.3,1000
54000000,8681174.78,6230665.57,71.8,1000
55000000,8813210.08,6361245.81,72.2,1000
56000000,8918416.28,6468748.80,72.5,1000
57000000,9066153.70,6613152.93,72.9,1000
58000000,9197942.43,6740911.22,73.3,1000
59000000,9299070.89,6844571.36,73.6,1000
60000000,9431873.95,6974232.30,73.9,1000
61000000,9525639.78,7069176.69,74.2,1000
62000000,9630776.47,7183553.58,74.6,1000
63000000,9744619.55,7294367.76,74.9,1000
64000000,9862026.21,7410791.12,75.1,1000
65000000,9988992.68,7537262.85,75.5,1000
66000000,10130107.10,7667919.49,75.7,1000
67000000,10239516.04,7782442.88,76.0,1000
68000000,10358046.06,7900938.74,76.3,1000
69000000,10484963.70,8025055.41,76.5,1000
70000000,10605443.82,8156708.27,76.9,1000
71000000,10787566.88,8328335.74,77.2,1000
72000000,10906303.83,8445032.94,77.4,1000
73000000,11026220.90,8564383.42,77.7,1000
74000000,11114896.57,8656811.42,77.9,1000
75000000,11245689.01,8780164.90,78.1,1000
76000000,11367326.79,8901315.27,78.3,1000
77000000,11459161.92,9012503.56,78.6,1000
78000000,11629247.77,9168236.27,78.8,1000
79000000,11711694.51,9261604.29,79.1,1000
80000000,11861487.46,9401549.69,79.3,1000
81000000,11951149.88,9497114.40,79.5,1000
82000000,12079734.88,9617863.91,79.6,1000
83000000,12192233.33,9730079.72,79.8,1000
84000000,12277123.57,9828366.60,80.1,1000
85000000,12411074.80,9960988.56,80.3,1000
86000000,12538584.23,10085228.46,80.4,1000
87000000,12655666.78,10202474.57,80.6,1000
88000000,12780529.46,10324843.76,80.8,1000
89000000,12881210.55,10421665.70,80.9,1000
90000000,13032032.78,10575733.47,81.2,1000
91000000,13087574.14,10639578.88,81.3,1000
92000000,13170437.27,10718456.90,81.4,1000
93000000,13315062.71,10863195.99,81.6,1000
94000000,13474967.99,11012463.85,81.7,1000
95000000,13593081.67,11124897.53,81.8,1000
96000000,13677318.71,11222819.73,82.1,1000
97000000,13803556.07,11352257.88,82.2,1000
98000000,13940447.18,11488348.87,82.4,1000
99000000,14048256.08,11588805.49,82.5,1000
100000000,14182220.82,11720889.75,82.6,1000
